id,time,geometry
2,2019-03-14 10:29:26+00:00,POINT (11.868326 50.310127)
2,2019-03-14 10:29:41+00:00,POINT (11.872699 50.310886)
2,2019-03-14 10:29:56+00:00,POINT (11.875581 50.31176)
2,2019-03-14 10:30:11+00:00,POINT (11.879103 50.312557)
2,2019-03-14 10:30:26+00:00,POINT (11.882456 50.313393)
2,2019-03-14 10:30:41+00:00,POINT (11.885317 50.314423)
2,2019-03-14 10:30:56+00:00,POINT (11.888224 50.315372)
2,2019-03-14 10:31:11+00:00,POINT (11.891555 50.31571)
2,2019-03-14 10:31:26+00:00,POINT (11.894736 50.316082)
2,2019-03-14 10:31:41+00:00,POINT (11.897459 50.316956)
2,2019-03-14 10:31:56+00:00,POINT (11.899844 50.317432)
2,2019-03-14 10:32:11+00:00,POINT (11.899804 50.318123)
2,2019-03-14 10:32:26+00:00,POINT (11.898356 50.31953)
2,2019-03-14 10:32:41+00:00,POINT (11.899993 50.320473)
2,2019-03-14 10:32:56+00:00,POINT (11.900224 50.32061)
2,2019-03-14 10:33:11+00:00,POINT (11.90031 50.320614)
2,2019-03-14 10:33:26+00:00,POINT (11.901848 50.31967)
2,2019-03-14 10:33:41+00:00,POINT (11.901836 50.31954)
2,2019-03-14 10:33:56+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:34:11+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:34:26+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:34:41+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:34:56+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:35:11+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:35:26+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:35:41+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:35:56+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:36:11+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:36:26+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:36:41+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:36:56+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:37:11+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:37:26+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:37:41+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:37:56+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:38:11+00:00,POINT (11.90182 50.319534)
2,2019-03-14 10:38:26+00:00,POINT (11.901931 50.319515)
2,2019-03-14 10:38:41+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:38:56+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:39:11+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:39:26+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:39:41+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:39:56+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:40:11+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:40:26+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:40:41+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:40:56+00:00,POINT (11.901945 50.319527)
2,2019-03-14 10:41:11+00:00,POINT (11.90195 50.31952)
2,2019-03-14 10:41:26+00:00,POINT (11.901942 50.31961)
